Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000139977,FLJ35355,NAA30,122830
ENSG00000139977,MAK3,NAA30,122830
ENSG00000139977,Mak3p,NAA30,122830
ENSG00000139977,NAT12,NAA30,122830
ENSG00000254237,,AC021242.2,
ENSG00000233585,,AC231533.2,
ENSG00000253887,,AC022784.3,
ENSG00000279949,,AC022784.6,
ENSG00000248592,TMEM110-MUSTN1,STIMATE-MUSTN1,100526772
ENSG00000248538,,AC022784.1,
ENSG00000229528,,AC119677.1,
ENSG00000226746,NCRNA00034,SMCR5,
ENSG00000233118,,UBE2V1P8,
ENSG00000286668,,AL391730.2,
ENSG00000108557,DKFZP434A139,RAI1,10743
ENSG00000108557,KIAA1820,RAI1,10743
ENSG00000108557,MGC12824,RAI1,10743
ENSG00000108557,SMCR,RAI1,10743
ENSG00000108557,SMS,RAI1,10743
ENSG00000228940,,AL391730.1,
ENSG00000272138,,LINC01607,
ENSG00000279837,,AC112694.2,
ENSG00000249328,,AC036214.1,
ENSG00000256282,,AC112694.1,
ENSG00000149534,APY,MS4A2,2206
ENSG00000149534,FCER1B,MS4A2,2206
ENSG00000149534,IGER,MS4A2,2206
ENSG00000149534,MS4A1,MS4A2,2206
ENSG00000275047,,GU182355.2,
ENSG00000247595,SPTY2D1-AS1,SPTY2D1OS,100506540
ENSG00000275596,,GU182355.3,
ENSG00000128463,FLJ90746,EMC4,51234
ENSG00000128463,MGC24415,EMC4,51234
ENSG00000128463,PIG17,EMC4,51234
ENSG00000128463,TMEM85,EMC4,51234
ENSG00000185246,FLJ11128,PRPF39,55015
ENSG00000185246,FLJ20666,PRPF39,55015
ENSG00000242737,,AC012170.1,
ENSG00000273498,103AS,KIR2DL4,3805
ENSG00000273498,15.212,KIR2DL4,3805
ENSG00000273498,CD158D,KIR2DL4,3805
ENSG00000170236,,USP50,373509
ENSG00000144130,,NT5DC4,284958
ENSG00000110148,,CCKBR,887
ENSG00000118113,CLG1,MMP8,4317
ENSG00000179119,DKFZp686I068,SPTY2D1,144108
ENSG00000179119,FLJ39441,SPTY2D1,144108
ENSG00000179119,Spt2,SPTY2D1,144108
ENSG00000264167,,AC122129.2,
ENSG00000285228,,AL359538.2,
ENSG00000228957,,AL512590.1,
ENSG00000237328,,RAI1-AS1,
ENSG00000286375,,AL512590.3,
ENSG00000188352,FLJ20375,FOCAD,54914
ENSG00000188352,KIAA1797,FOCAD,54914
ENSG00000186190,C20orf185,BPIFB3,359710
ENSG00000186190,dJ726C3.4,BPIFB3,359710
ENSG00000186190,LPLUNC3,BPIFB3,359710
ENSG00000186190,RYA3,BPIFB3,359710
ENSG00000248464,RP11-473L15.2,FGF10-AS1,
ENSG00000070193,,FGF10,2255
ENSG00000151623,MLR,NR3C2,4306
ENSG00000151623,MR,NR3C2,4306
ENSG00000256407,,AL357673.1,
ENSG00000116221,MRP-L2,MRPL37,51253
ENSG00000116221,RPML2,MRPL37,51253
ENSG00000169607,FLJ40629,CKAP2L,150468
ENSG00000169607,radmis,CKAP2L,150468
ENSG00000282379,KIAA1528,DTX2,113878
ENSG00000282379,RNF58,DTX2,113878
ENSG00000119977,C10orf61,TCTN3,26123
ENSG00000119977,DKFZP564D116,TCTN3,26123
ENSG00000119977,JBTS18,TCTN3,26123
ENSG00000119977,TECT3,TCTN3,26123
ENSG00000235224,,AL591212.2,
ENSG00000232593,LINC01155,KANTR,
ENSG00000232593,Spasm,KANTR,
ENSG00000231096,,NDUFB4P3,
ENSG00000205693,,MANSC4,100287284
ENSG00000279251,,AC015726.3,
ENSG00000186191,C20orf186,BPIFB4,149954
ENSG00000186191,dJ726C3.5,BPIFB4,149954
ENSG00000186191,LPLUNC4,BPIFB4,149954
ENSG00000234438,hCG_1645727,KBTBD13,390594
ENSG00000234438,NEM6,KBTBD13,390594
ENSG00000279954,,BX324167.2,
ENSG00000235091,,BX324167.1,
ENSG00000278737,,AC013553.4,
ENSG00000223986,,AC069421.1,
ENSG00000287206,,AC069421.3,
ENSG00000286624,,AC069421.2,
ENSG00000231340,ACTGP10,ACTG1P10,
ENSG00000231340,ACTL1,ACTG1P10,
ENSG00000229155,,LINC02038,
ENSG00000276277,,AL445584.3,
ENSG00000227329,,AL139396.1,
ENSG00000253252,,AC022784.2,
ENSG00000275649,,AL445584.2,
ENSG00000234019,,AL591212.1,
ENSG00000253735,,AC021736.1,
ENSG00000268234,FKBP4P4,FKBP4P6,
ENSG00000268234,FKBP4P5,FKBP4P6,
ENSG00000100557,C14orf105,CCDC198,55195
ENSG00000100557,FLJ10650,CCDC198,55195
ENSG00000138592,HumORF8,USP8,9101
ENSG00000138592,KIAA0055,USP8,9101
ENSG00000138592,SPG59,USP8,9101
ENSG00000138592,UBPY,USP8,9101
ENSG00000231350,C6orf205,MUC21,394263
ENSG00000231350,KMQK697,MUC21,394263
ENSG00000231350,MUC-21,MUC21,394263
ENSG00000231350,bCX31G15.2,MUC21,394263
ENSG00000231350,C6orf205,MUC21,394263
ENSG00000259468,,AC079203.2,
ENSG00000246922,,UBAP1L,390595
ENSG00000130856,,ZNF236,7776
ENSG00000106633,HK4,GCK,2645
ENSG00000106633,MODY2,GCK,2645
ENSG00000135736,MGC10992,CCDC102A,92922
ENSG00000140199,ACCPN,SLC12A6,9990
ENSG00000140199,KCC3,SLC12A6,9990
ENSG00000155256,FLJ32919,ZFYVE27,118813
ENSG00000155256,SPG33,ZFYVE27,118813
ENSG00000254572,GLULL3,GLULP3,
ENSG00000254935,,AP002469.1,
ENSG00000173418,dJ1002M8.1,NAA20,51126
ENSG00000173418,NAT3,NAA20,51126
ENSG00000173418,NAT5,NAA20,51126
ENSG00000244545,,AC092924.1,
ENSG00000287706,,AC092924.2,
ENSG00000242561,ATP5LP5,ATP5MGP5,
ENSG00000169860,P2Y1,P2RY1,5028
ENSG00000169860,SARCC,P2RY1,5028
ENSG00000280425,,AL357673.2,
ENSG00000232464,,Z98949.2,
ENSG00000198711,C1orf191,SSBP3-AS1,
ENSG00000198711,MSTP128,SSBP3-AS1,
ENSG00000259258,,AC013553.1,
ENSG00000278960,,AL022329.3,
ENSG00000133454,BK125H2.1,MYO18B,84700
ENSG00000137959,C1orf29,IFI44L,10964
ENSG00000137959,GS3686,IFI44L,10964
ENSG00000157211,,CDCP2,200008
ENSG00000241810,,HMGN2P13,
ENSG00000241671,,AC117394.1,
ENSG00000244268,,AC117394.2,
ENSG00000174885,CLR11.4,NLRP6,171389
ENSG00000174885,NALP6,NLRP6,171389
ENSG00000174885,PAN3,NLRP6,171389
ENSG00000174885,PYPAF5,NLRP6,171389
ENSG00000225632,,AL161644.1,
ENSG00000253530,,AC084116.3,
ENSG00000249203,BRCAT107,LINC02224,
ENSG00000249203,ENST00000505706,LINC02224,
ENSG00000230102,,LINC02028,
ENSG00000250418,,AC093292.1,
ENSG00000198765,CT8,SYCP1,6847
ENSG00000198765,HOM-TES-14,SYCP1,6847
ENSG00000198765,SCP1,SYCP1,6847
ENSG00000176428,MGC35352,VPS37D,155382
ENSG00000176428,WBSCR24,VPS37D,155382
ENSG00000237108,,CR759964.2,
ENSG00000203446,,AC004988.1,
ENSG00000228147,,CR759964.1,
ENSG00000248711,,THUMPD3P1,
ENSG00000175600,C7orf10,SUGCT,79783
ENSG00000175600,DERP13,SUGCT,79783
ENSG00000175600,FLJ11808,SUGCT,79783
ENSG00000175600,ORF19,SUGCT,79783
ENSG00000248779,,AC093297.1,
ENSG00000251141,BRCAT54,MRPS30-DT,
ENSG00000013810,ERIC-1,TACC3,10460
ENSG00000013810,ERIC1,TACC3,10460
ENSG00000013810,maskin,TACC3,10460
ENSG00000013810,Tacc4,TACC3,10460
ENSG00000255026,,AC136475.3,
ENSG00000285103,,AL451123.1,
ENSG00000232935,,AL359094.2,
ENSG00000285388,,AP000438.2,
ENSG00000223528,,AL359094.1,
ENSG00000267656,,AP001357.2,
ENSG00000254828,,AP005597.1,
ENSG00000267032,,AP001357.1,
ENSG00000225626,C9orf135-AS1,C9orf135-DT,
ENSG00000254663,,OR4A11P,
ENSG00000168884,ABIN-2,TNIP2,79155
ENSG00000168884,FLIP1,TNIP2,79155
ENSG00000168884,KLIP,TNIP2,79155
ENSG00000168884,MGC4289,TNIP2,79155
ENSG00000261809,CYP3A-se1[2],CYP3A54P,
ENSG00000286874,,AC072054.1,
ENSG00000287213,,AL121899.3,
ENSG00000177830,FLJ42707,CHID1,66005
ENSG00000177830,MGC3234,CHID1,66005
ENSG00000177830,SI-CLP,CHID1,66005
ENSG00000212993,OTF3C,POU5F1B,5462
ENSG00000212993,OTF3P1,POU5F1B,5462
ENSG00000212993,POU5F1P1,POU5F1B,5462
ENSG00000278277,,GU182355.7,
ENSG00000253573,,AC024382.1,
ENSG00000177994,FLJ40298,C2orf73,129852
ENSG00000275608,,GU182355.4,
ENSG00000125780,TGE,TGM3,7053
ENSG00000287781,,AC018714.2,
ENSG00000288052,,AL356952.1,
ENSG00000108219,DC-TM4F2,TSPAN14,81619
ENSG00000108219,MGC11352,TSPAN14,81619
ENSG00000108219,TM4SF14,TSPAN14,81619
ENSG00000106089,HPC-1,STX1A,6804
ENSG00000106089,p35-1,STX1A,6804
ENSG00000106089,STX1,STX1A,6804
ENSG00000280997,LINC00873,CCAT2,
ENSG00000280997,NCCP1,CCAT2,
ENSG00000282961,PCAT8,PRNCR1,
ENSG00000183346,bA63A2.1,CABCOCO1,219621
ENSG00000183346,C10orf107,CABCOCO1,219621
ENSG00000183346,Em:AC022398.2,CABCOCO1,219621
ENSG00000183346,MGC44593,CABCOCO1,219621
ENSG00000169064,FLJ23049,ZBBX,79740
ENSG00000224722,,AC020688.1,
ENSG00000168672,BCMP101,LRATD2,157638
ENSG00000168672,FAM84B,LRATD2,157638
ENSG00000168672,NSE2,LRATD2,157638
ENSG00000181652,APG9L2,ATG9B,285973
ENSG00000181652,FLJ14885,ATG9B,285973
ENSG00000181652,NOS3AS,ATG9B,285973
ENSG00000181652,SONE,ATG9B,285973
ENSG00000254952,,LINC02705,
ENSG00000143552,,NUP210L,91181
ENSG00000101180,GPCR97,HRH3,11255
ENSG00000250354,,AC069272.1,
ENSG00000156469,CGI-12,MTERF3,51001
ENSG00000156469,FLJ10939,MTERF3,51001
ENSG00000156469,MTERFD1,MTERF3,51001
ENSG00000254166,CARLo-6,CASC19,
ENSG00000254166,LINC01245,CASC19,
ENSG00000286022,,AL121899.2,
ENSG00000226644,,AL121899.1,
ENSG00000272592,,AL451049.1,
ENSG00000233643,,LINC02625,
ENSG00000287561,,AL121899.4,
ENSG00000267286,,AP001198.2,
ENSG00000258484,SP-ESP,SPESP1,246777
ENSG00000164916,IMAGE:5164497,FOXK1,221937
ENSG00000267239,,AP001198.1,
ENSG00000170260,C2H2-150,ZNF212,7988
ENSG00000241889,,AC079944.2,
ENSG00000240776,,AC079944.1,
ENSG00000240375,,VPS26AP1,
ENSG00000273394,,AC128687.2,
ENSG00000142102,ATHL1,PGGHG,80162
ENSG00000142102,FLJ22635,PGGHG,80162
ENSG00000273851,,AC027088.4,
ENSG00000259265,,AC027088.3,
ENSG00000132792,C20orf33,CTNNBL1,56259
ENSG00000132792,FLJ21108,CTNNBL1,56259
ENSG00000132792,NAP,CTNNBL1,56259
ENSG00000132792,NYD-SP19,CTNNBL1,56259
ENSG00000132792,P14,CTNNBL1,56259
ENSG00000132792,P14L,CTNNBL1,56259
ENSG00000178075,DKFZp434C0328,GRAMD1C,54762
ENSG00000137808,,AC027088.1,
ENSG00000260460,,AL365181.1,
ENSG00000143537,MDC15,ADAM15,8751
ENSG00000287665,,AC092428.1,
ENSG00000271151,,AC016737.1,
ENSG00000235049,,LINC00940,
ENSG00000273258,,AC016737.2,
ENSG00000260868,,LINC01960,
ENSG00000235414,,RPSAP24,
ENSG00000072778,ACAD6,ACADVL,37
ENSG00000072778,LCACD,ACADVL,37
ENSG00000072778,VLCAD,ACADVL,37
ENSG00000227658,,AC005160.1,
ENSG00000249320,,AC133963.2,
ENSG00000282052,,RPS7P11,
ENSG00000248608,,AC133963.1,
ENSG00000276262,SEC18,NSF,4905
ENSG00000276262,SKD2,NSF,4905
ENSG00000248545,,AC105290.1,
ENSG00000256403,,AP003785.1,
ENSG00000175893,DHHC21,ZDHHC21,340481
ENSG00000175893,DNZ1,ZDHHC21,340481
ENSG00000175893,HSPC097,ZDHHC21,340481
ENSG00000287770,,AC107385.2,
ENSG00000171557,,FGG,2266
ENSG00000183426,morpheus,NPIPA1,9284
ENSG00000183426,NPIP,NPIPA1,9284
ENSG00000183426,morpheus,NPIPA1,642799
ENSG00000183426,NPIP,NPIPA1,642799
ENSG00000249624,,AP000295.1,
ENSG00000164867,ECNOS,NOS3,4846
ENSG00000164867,eNOS,NOS3,4846
ENSG00000214146,,LINC02026,
ENSG00000216937,BIOT2,CCDC7,79741
ENSG00000216937,C10orf68,CCDC7,79741
ENSG00000216937,FLJ13031,CCDC7,79741
ENSG00000216937,FLJ32762,CCDC7,79741
ENSG00000224403,,DPPA2P3,
ENSG00000165553,,NGB,58157
ENSG00000276407,,AC024559.2,
ENSG00000253543,,AC083923.1,
ENSG00000238043,,AC024559.1,
ENSG00000271509,,AC018714.1,
ENSG00000243646,CDW210B,IL10RB,3588
ENSG00000243646,CRF2-4,IL10RB,3588
ENSG00000243646,CRFB4,IL10RB,3588
ENSG00000243646,D21S58,IL10RB,3588
ENSG00000243646,D21S66,IL10RB,3588
ENSG00000243646,IL-10R2,IL10RB,3588
ENSG00000220685,,AL139094.1,
ENSG00000253438,PCA1,PCAT1,
ENSG00000253438,PCAT-1,PCAT1,
ENSG00000214369,CYB5P2,CYB5AP2,
ENSG00000181467,,RAP2B,5912
ENSG00000239754,BF,CFB,629
ENSG00000239754,BFD,CFB,629
ENSG00000239754,H2-Bf,CFB,629
ENSG00000087448,Ctb9,KLHL42,57542
ENSG00000087448,KIAA1340,KLHL42,57542
ENSG00000087448,KLHDC5,KLHL42,57542
ENSG00000258830,,AC137834.1,
ENSG00000288548,,AL035653.1,
ENSG00000147869,DAND4,CER1,9350
ENSG00000219607,,PPP1R3G,648791
ENSG00000179912,KIAA1002,R3HDM2,22864
ENSG00000241220,,AC078788.1,
ENSG00000241912,,AC078788.2,
ENSG00000173421,CT74,CCDC36,339834
ENSG00000173421,FLJ25320,CCDC36,339834
ENSG00000214124,,SNRPEP9,
ENSG00000067992,,PDK3,5165
ENSG00000256512,,AC009511.1,
ENSG00000256747,,AC009511.2,
ENSG00000187792,Cos17,ZNF70,7621
ENSG00000187792,MGC48959,ZNF70,7621
ENSG00000246228,CARLo-1,CASC8,
ENSG00000246228,LINC00860,CASC8,
ENSG00000128218,8HS20,VPREB3,29802
ENSG00000286241,,AC080089.2,
ENSG00000206013,BRIL,IFITM5,387733
ENSG00000206013,DSPA1,IFITM5,387733
ENSG00000206013,fragilis4,IFITM5,387733
ENSG00000206013,Hrmp1,IFITM5,387733
ENSG00000273603,,GU182355.1,
ENSG00000250772,,LINC01365,
ENSG00000228304,,OR4K6P,
ENSG00000223799,IFNAR2-AS1,IL10RB-DT,
ENSG00000223799,IL10RB-AS1,IL10RB-DT,
ENSG00000183458,,AC138932.1,
ENSG00000281642,,AC127032.2,
ENSG00000255533,,AC136475.6,
ENSG00000176290,OR4K3P,OR4K3,283617
ENSG00000281815,,AC127032.3,
ENSG00000176225,DKFZP434G145,RTTN,25914
ENSG00000244229,,RPL26P35,
ENSG00000168936,D4S2561E,TMEM129,92305
ENSG00000265261,,AC027575.1,
ENSG00000234782,,TPT1P9,
ENSG00000225050,,AL355592.1,
ENSG00000159110,IFNABR,IFNAR2,3455
ENSG00000188064,,WNT7B,7477
ENSG00000235201,RP11-127L21.1,LINC02578,
ENSG00000229648,,RPSAP22,
ENSG00000227071,,FOCAD-AS1,
ENSG00000230033,,AC006357.1,
ENSG00000286532,PARTICLE,PARTICL,
ENSG00000282733,NSFP,NSFP1,
ENSG00000231166,,TUBB4BP6,107987035
ENSG00000140030,hTDAG8,GPR65,8477
ENSG00000140030,TDAG8,GPR65,8477
ENSG00000278137,,CU151838.3,
ENSG00000267393,,AP002439.1,
ENSG00000258407,,AL157955.1,
ENSG00000267503,,AP005131.3,
ENSG00000270538,,AC121247.3,
ENSG00000146909,C7orf3,NOM1,64434
ENSG00000146909,PPP1R113,NOM1,64434
ENSG00000146909,SGD1,NOM1,64434
ENSG00000267136,,AP005131.1,
ENSG00000279275,,AP002505.2,
ENSG00000267694,,AP005131.5,
ENSG00000231837,,RPS7P2,
ENSG00000286926,,AP002505.3,
ENSG00000277213,,SDR42E1P2,
ENSG00000267366,,AP005131.2,
ENSG00000231416,,AL358472.1,
ENSG00000234861,ATP5A1P1,ATP5F1AP1,
ENSG00000234861,ATP5A1P5,ATP5F1AP1,
ENSG00000234861,ATP5A1P6,ATP5F1AP1,
ENSG00000234861,ATP5AL1,ATP5F1AP1,
ENSG00000234861,ATP5AP1,ATP5F1AP1,
ENSG00000186047,FLJ44882,DLEU7,220107
ENSG00000168675,C18orf1,LDLRAD4,753
ENSG00000162929,,KIAA1841,84542
ENSG00000232114,,AC018693.2,
ENSG00000227238,,TTC39DP,
ENSG00000115165,B3-1,CYTIP,9595
ENSG00000115165,CASP,CYTIP,9595
ENSG00000115165,CYBR,CYTIP,9595
ENSG00000115165,CYTHIP,CYTIP,9595
ENSG00000115165,HE,CYTIP,9595
ENSG00000115165,PSCDBP,CYTIP,9595
ENSG00000073614,JARID1A,KDM5A,5927
ENSG00000073614,RBBP2,KDM5A,5927
ENSG00000160868,CYP3A3,CYP3A4,1576
ENSG00000149557,UNC-76,FEZ1,9638
ENSG00000238755,,LINC02006,
ENSG00000280424,,BX537318.2,
ENSG00000152147,FLJ23459,GEMIN6,79833
ENSG00000273145,,BX537318.1,
ENSG00000270195,,AC016773.2,
ENSG00000111602,hTIM,TIMELESS,8914
ENSG00000111602,TIM,TIMELESS,8914
ENSG00000111602,TIM1,TIMELESS,8914
ENSG00000231711,,LINC00899,
ENSG00000237787,C3orf79,LINC02877,
ENSG00000215498,FLJ46366,FAM230B,
ENSG00000243486,,AC068985.2,
ENSG00000198553,,KCNRG,283518
ENSG00000262099,,DHX33-DT,
ENSG00000240068,,RPL21P42,
ENSG00000176410,WBSCR18,DNAJC30,84277
ENSG00000273300,,AC000068.3,
ENSG00000214113,C6orf149,LYRM4,57128
ENSG00000214113,CGI-203,LYRM4,57128
ENSG00000214113,ISD11,LYRM4,57128
ENSG00000185065,,AC000068.1,
ENSG00000286191,,AL158195.1,
ENSG00000231812,,SNRPCP9,
ENSG00000273212,,AC000068.2,
ENSG00000232032,,AC079781.2,
ENSG00000185608,MRP-L22,MRPL40,64976
ENSG00000185608,NLVCF,MRPL40,64976
ENSG00000183444,OR7E76,OR7E38P,
ENSG00000183444,OST127,OR7E38P,
ENSG00000238228,,OR7E7P,
ENSG00000071462,MERM1,BUD23,114049
ENSG00000071462,MGC19709,BUD23,114049
ENSG00000071462,MGC2022,BUD23,114049
ENSG00000071462,MGC5140,BUD23,114049
ENSG00000071462,PP3381,BUD23,114049
ENSG00000071462,WBMT,BUD23,114049
ENSG00000071462,WBSCR22,BUD23,114049
ENSG00000284627,,AC079781.4,
ENSG00000231859,,AC079781.1,
ENSG00000237818,,RPS3AP29,
ENSG00000232097,,AC079781.3,
ENSG00000284707,,AC079781.5,
ENSG00000257943,,AC084879.2,
ENSG00000144048,PIR1,DUSP11,8446
ENSG00000243554,,AC004967.1,
ENSG00000285725,,AC004967.2,
ENSG00000226744,,AC005326.1,
ENSG00000122481,DKFZP566K023,RWDD3,25950
ENSG00000122481,RSUME,RWDD3,25950
ENSG00000070669,,ASNS,440
ENSG00000110077,CD20L3,MS4A6A,64231
ENSG00000110077,MS4A6,MS4A6A,64231
ENSG00000258313,,AC084879.3,
ENSG00000287535,,AC009630.4,
ENSG00000253943,,KRT18P37,
ENSG00000196116,PCTAIRE2BP,TDRD7,23424
ENSG00000253174,,AC009630.2,
ENSG00000097046,CDC7L1,CDC7,8317
ENSG00000097046,HsCdc7,CDC7,8317
ENSG00000097046,Hsk1,CDC7,8317
ENSG00000097046,huCdc7,CDC7,8317
ENSG00000253133,,AC009630.1,
ENSG00000100084,DGCR1,HIRA,7290
ENSG00000100084,TUP1,HIRA,7290
ENSG00000100084,TUPLE1,HIRA,7290
ENSG00000264578,,AC009630.3,
ENSG00000147536,MGC14799,GINS4,84296
ENSG00000147536,SLD5,GINS4,84296
ENSG00000188092,GPR89,GPR89B,51463
ENSG00000188092,GPR89C,GPR89B,51463
ENSG00000188092,SH120,GPR89B,51463
ENSG00000234503,,AP000550.2,
ENSG00000271092,TMEM56-RWDD3,TLCD4-RWDD3,100527978
ENSG00000226659,,AC021028.1,
ENSG00000281950,,SPDYE16,285955
ENSG00000281950,,SPDYE16,102723555
ENSG00000254723,,OR4A12P,
ENSG00000243069,,ARHGEF26-AS1,
ENSG00000117385,GROS1,P3H1,64175
ENSG00000117385,LEPRE1,P3H1,64175
ENSG00000117385,LEPRECAN,P3H1,64175
ENSG00000117385,MGC117314,P3H1,64175
ENSG00000152078,FLJ31842,TLCD4,148534
ENSG00000152078,TMEM56,TLCD4,148534
ENSG00000282349,,AC237298.1,
ENSG00000112996,PAP,MRPS30,10884
ENSG00000112996,PDCD9,MRPS30,10884
ENSG00000276184,FLJ32198,UPK3B,105375355
ENSG00000276184,MGC10902,UPK3B,105375355
ENSG00000276184,p35,UPK3B,105375355
ENSG00000276184,UPIIIb,UPK3B,105375355
ENSG00000254577,,AC087276.2,
ENSG00000106123,HEP,EPHB6,2051
ENSG00000052841,FLJ10890,TTC17,55761
ENSG00000114790,DKFZP434D146,ARHGEF26,26084
ENSG00000114790,SGEF,ARHGEF26,26084
ENSG00000204946,DKFZp667J212,ZNF783,100289678
ENSG00000226026,,AC092802.2,
ENSG00000231179,PERB11.2,MICB,4277
ENSG00000231795,,ITCH-IT1,
ENSG00000228852,,AC092802.3,
ENSG00000078747,AIP4,ITCH,83737
ENSG00000231992,,AC092802.4,
ENSG00000271253,,AC011891.3,
ENSG00000227884,,C4B-AS1,
ENSG00000237900,C6orf46,ZBTB12,221527
ENSG00000237900,D6S59E,ZBTB12,221527
ENSG00000237900,G10,ZBTB12,221527
ENSG00000237900,NG35,ZBTB12,221527
ENSG00000147533,GCP16,GOLGA7,51125
ENSG00000147533,GOLGA3AP1,GOLGA7,51125
ENSG00000147533,GOLGA7A,GOLGA7,51125
ENSG00000147533,HSPC041,GOLGA7,51125
ENSG00000241556,,AC018475.1,
ENSG00000122644,ARL4,ARL4A,10124
ENSG00000260550,,AC136618.1,
ENSG00000078725,DBC1,BRINP1,1620
ENSG00000078725,DBCCR1,BRINP1,1620
ENSG00000078725,FAM5A,BRINP1,1620
ENSG00000215734,,MRPL20P1,
ENSG00000256340,,ABCC6P1,
ENSG00000279020,FLJ31338,C18orf15,
ENSG00000279020,HsT3231,C18orf15,
ENSG00000267529,,AP005131.4,
ENSG00000267177,,AP002505.1,
ENSG00000267702,,AP005131.6,
ENSG00000183145,DSCR6,RIPPLY3,53820
ENSG00000244560,,AC004890.2,
ENSG00000267690,,LDLRAD4-AS1,
ENSG00000266954,,AP001010.1,
ENSG00000272746,,AP005131.7,
ENSG00000283972,,AP000550.4,
ENSG00000204001,LCN5,LCN8,138307
ENSG00000174225,ARL13,ARL13A,392509
ENSG00000254992,,AP001582.1,
ENSG00000259301,,AC084759.1,
ENSG00000099953,STMY3,MMP11,4320
ENSG00000148399,C9orf112,DPH7,92715
ENSG00000148399,FLJ90634,DPH7,92715
ENSG00000148399,RRT2,DPH7,92715
ENSG00000148399,WDR85,DPH7,92715
ENSG00000255537,,AP000708.1,
ENSG00000149554,CHK1,CHEK1,1111
ENSG00000271664,,AC004890.3,
ENSG00000187676,B3GALTL,B3GLCT,145173
ENSG00000187676,B3Glc-T,B3GLCT,145173
ENSG00000187676,B3GTL,B3GLCT,145173
ENSG00000109775,C4orf20,UFSP2,55325
ENSG00000109775,FLJ11200,UFSP2,55325
ENSG00000225455,,TPI1P4,
ENSG00000008128,CDC2L2,CDK11A,728642
ENSG00000008128,CDC2L3,CDK11A,728642
ENSG00000008128,CDK11-p110,CDK11A,728642
ENSG00000008128,CDK11-p46,CDK11A,728642
ENSG00000008128,CDK11-p58,CDK11A,728642
ENSG00000008128,p58GTA,CDK11A,728642
ENSG00000008128,PITSLRE,CDK11A,728642
ENSG00000109182,CWH43-C,CWH43,80157
ENSG00000109182,FLJ21511,CWH43,80157
ENSG00000109182,PGAP2IP,CWH43,80157
ENSG00000159618,GPR114,ADGRG5,221188
ENSG00000159618,PGR27,ADGRG5,221188
ENSG00000102145,ERYF1,GATA1,2623
ENSG00000102145,GATA-1,GATA1,2623
ENSG00000102145,GF1,GATA1,2623
ENSG00000102145,NF-E1,GATA1,2623
ENSG00000102145,NFE1,GATA1,2623
ENSG00000281688,,NF1P9,
ENSG00000231245,bA195O1.1,C1DP1,
ENSG00000235029,ENST00000429228,MNX1-AS2,
ENSG00000130675,HB9,MNX1,3110
ENSG00000130675,HLXB9,MNX1,3110
ENSG00000130675,HOXHB9,MNX1,3110
ENSG00000130675,SCRA1,MNX1,3110
ENSG00000177105,ARHG,RHOG,391
ENSG00000177105,MGC125835,RHOG,391
ENSG00000177105,MGC125836,RHOG,391
ENSG00000177105,RhoG,RHOG,391
ENSG00000231933,,MYO18B-AS1,
ENSG00000237651,LOC339804,C2orf74,339804
ENSG00000229427,,ANKRD26P4,
ENSG00000185482,MGC2793,STAC3,246329
ENSG00000281622,,AC020679.2,
ENSG00000278776,,AC171558.6,
ENSG00000107175,Luman,CREB3,10488
ENSG00000107175,LZIP,CREB3,10488
ENSG00000107175,sLZIP,CREB3,10488
ENSG00000281604,,AC020679.1,
ENSG00000228154,,AC092436.1,
ENSG00000278178,,AC171558.5,
ENSG00000232050,,Z98949.1,
ENSG00000280555,,LINC02203,
ENSG00000250479,C22orf16,CHCHD10,400916
ENSG00000250479,MIX17A,CHCHD10,400916
ENSG00000250479,N27C7-4,CHCHD10,400916
ENSG00000273484,,OR6R2P,
ENSG00000224975,NCRNA00010,INE1,
ENSG00000168546,GDNFRB,GFRA2,2675
ENSG00000168546,NTNRA,GFRA2,2675
ENSG00000168546,RETL2,GFRA2,2675
ENSG00000168546,TRNR2,GFRA2,2675
ENSG00000229203,,AC103564.1,
ENSG00000173230,GCP,GOLGB1,2804
ENSG00000173230,GCP372,GOLGB1,2804
ENSG00000173230,giantin,GOLGB1,2804
ENSG00000173230,GOLIM1,GOLGB1,2804
ENSG00000279869,,AC022418.1,
ENSG00000273454,,AC112503.2,
ENSG00000251593,MSNL1,MSNP1,
ENSG00000227353,,RAB28P3,
ENSG00000254463,,PPIAP41,
ENSG00000273804,,AC138932.5,
ENSG00000255340,,AC087276.4,
ENSG00000232760,,AC103564.2,
ENSG00000241318,WDR82C,WDR82P2,
ENSG00000212978,,AC016747.1,
ENSG00000177984,PRO6093,LCN15,389812
ENSG00000177984,UNQ2541,LCN15,389812
ENSG00000260230,C9orf4,FRRS1L,23732
ENSG00000260230,CG-6,FRRS1L,23732
ENSG00000286625,,AC113370.1,
ENSG00000166181,AAC-11,API5,8539
ENSG00000166181,AAC11,API5,8539
ENSG00000166181,API5L1,API5,8539
ENSG00000120647,MGC13183,CCDC77,84318
ENSG00000273407,,AC069294.1,
ENSG00000249099,,AC025475.1,
ENSG00000242259,MGC74441,C22orf39,128977
ENSG00000258323,,AC073575.3,
ENSG00000235615,,AJ239322.1,
ENSG00000169314,FLJ36561,C22orf15,150248
ENSG00000169314,N27C7-3,C22orf15,150248
ENSG00000244337,,AJ239322.2,
ENSG00000111300,C12orf30,NAA25,80018
